"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 22 14:56:07 CEST 2021","Sun Aug 22 14:56:31 CEST 2021","23943","","ImdbPaginationTest","","ImdbPaginationTest","dataSearchTest","dataSearchTest()",""
"passed","Sun Aug 22 14:50:18 CEST 2021","Sun Aug 22 14:51:01 CEST 2021","43508","","ImdbDeleteDataTest","","ImdbDeleteDataTest","deleteDataTest","deleteDataTest()",""
"passed","Sun Aug 22 14:51:31 CEST 2021","Sun Aug 22 14:51:56 CEST 2021","25097","","ImdbListTest","","ImdbListTest","dataSearchTest","dataSearchTest()",""
"passed","Sun Aug 22 14:52:55 CEST 2021","Sun Aug 22 14:53:32 CEST 2021","37110","","ImdbLogoutTest","","ImdbLogoutTest","logoutAfterTest","logoutAfterTest()",""
"passed","Sun Aug 22 14:52:26 CEST 2021","Sun Aug 22 14:52:55 CEST 2021","29033","","ImdbLoginTest","","ImdbLoginTest","loginTextTest","loginTextTest()",""
"broken","Sun Aug 22 14:53:32 CEST 2021","Sun Aug 22 14:54:11 CEST 2021","38783","","ImdbModifyDataTest","","ImdbModifyDataTest","modifyDataTest","modifyDataTest()",""
"skipped","Sun Aug 22 14:56:50 CEST 2021","Sun Aug 22 14:56:50 CEST 2021","0","","ImdbRegTest","","ImdbRegTest","RegistrationTest","RegistrationTest()",""
"passed","Sun Aug 22 14:51:56 CEST 2021","Sun Aug 22 14:52:26 CEST 2021","29778","","ImdbListTest","","ImdbListTest","listSearchTest","listSearchTest()",""
"broken","Sun Aug 22 14:51:01 CEST 2021","Sun Aug 22 14:51:31 CEST 2021","29836","","ImdbExportDataTest","","ImdbExportDataTest","exportDataTest","exportDataTest()",""
"passed","Sun Aug 22 14:56:31 CEST 2021","Sun Aug 22 14:56:50 CEST 2021","18992","","ImdbPrivacyPolicyTest","","ImdbPrivacyPolicyTest","privacyPolicyTextTest","privacyPolicyTextTest()",""
"passed","Sun Aug 22 14:55:29 CEST 2021","Sun Aug 22 14:56:07 CEST 2021","38320","","ImdbPaginationTest","","ImdbPaginationTest","filmSelectTitleTest","filmSelectTitleTest()",""
"passed","Sun Aug 22 14:49:32 CEST 2021","Sun Aug 22 14:50:17 CEST 2021","44840","","ImdbAddDataTest","","ImdbAddDataTest","createNewListTest","createNewListTest()",""
"passed","Sun Aug 22 14:56:50 CEST 2021","Sun Aug 22 14:58:22 CEST 2021","91905","","ImdbRepeatedDataEntryTest","","ImdbRepeatedDataEntryTest","repeatedDataEntryTest","repeatedDataEntryTest()",""
"passed","Sun Aug 22 14:54:11 CEST 2021","Sun Aug 22 14:55:29 CEST 2021","78289","","ImdbPaginationTest","","ImdbPaginationTest","filmPaginationTest","filmPaginationTest()",""
